//Format[hex]:Index(size) = Name 
000(1) = act0
001(1) = act1
002(1) = act2
003(1) = act3
004(1) = act4
005(1) = act5
006(1) = act6
007(1) = act7
008(1) = act8
009(1) = act9
00A(1) = act10
00B(1) = act11
00C(1) = act12
00D(1) = act13
00E(1) = act14
00F(1) = act15
010(1) = act16
011(1) = act17
012(1) = act18
013(1) = act19
014(1) = act20
015(1) = act21
016(1) = act22
017(1) = act23
018(1) = act24
019(1) = act25
01A(1) = act26
01B(1) = act27
01C(1) = act28
01D(1) = act29
01E(1) = act30
01F(1) = act31
020(1) = act32
021(1) = act33
022(1) = act34
023(1) = act35
024(1) = act36
025(1) = act37
026(1) = act38
027(1) = act39
028(1) = act40
029(1) = act41
02A(1) = act42
02B(1) = act43
02C(1) = act44
02D(1) = act45
02E(1) = act46
02F(1) = act47
030(1) = act48
031(1) = act49
032(1) = act50
033(1) = act51
034(1) = act52
035(1) = act53
036(1) = act54
037(1) = act55
038(1) = act56
039(1) = act57
03A(1) = act58
03B(1) = act59
03C(1) = act60
03D(1) = act61
03E(1) = act62
03F(1) = act63
040(1) = act64
041(1) = act65
042(1) = act66
043(1) = act67
044(1) = act68
045(1) = act69
046(1) = act70
047(1) = act71
048(1) = act72
049(1) = act73
04A(1) = act74
04B(1) = act75
04C(1) = act76
04D(1) = act77
04E(1) = act78
04F(1) = act79
050(1) = act80
051(1) = act81
052(1) = act82
053(1) = act83
054(1) = act84
055(1) = act85
056(1) = act86
057(1) = act87
058(1) = act88
059(1) = act89
05A(1) = act90
05B(1) = act91
05C(1) = act92
05D(1) = act93
05E(1) = act94
05F(1) = act95
060(1) = act96
061(1) = act97
062(1) = act98
063(1) = act99
064(12) = pad0
